Town,1-Room,2-Room,3-Room,4-Room,5-Room,Executive
ANG MO KIO,-,*,"$402,000","$612,900","$780,000",*
BEDOK,-,*,"$390,000","$535,000","$745,000",*
BISHAN,-,-,*,"$728,000","$960,000",*
BUKIT BATOK,-,"$345,000","$390,000","$595,000","$735,000",*
BUKIT MERAH,*,*,"$440,500","$885,000",*,-
BUKIT PANJANG,-,*,"$410,000","$538,000","$650,000",*
BUKIT TIMAH,-,-,*,*,*,*
CENTRAL,-,*,"$520,000",*,*,-
CHOA CHU KANG,-,*,"$390,000","$515,000","$605,000","$773,000"
CLEMENTI,-,*,"$390,000","$642,500",*,*
GEYLANG,-,*,"$359,400","$877,000",*,*
HOUGANG,-,*,"$430,000","$585,000","$701,100","$900,000"
JURONG EAST,-,*,"$383,000","$495,000","$632,000",*
JURONG WEST,-,*,"$372,500","$488,000","$600,000","$740,500"
KALLANG/WHAMPOA,-,*,"$410,000","$860,500","$884,000",*
MARINE PARADE,-,*,*,*,*,-
PASIR RIS,-,*,*,"$590,000","$695,000","$870,000"
PUNGGOL,-,*,"$495,000","$622,000","$712,500",*
QUEENSTOWN,-,*,"$415,500","$928,000",*,*
SEMBAWANG,-,"$350,000","$470,000","$567,500","$608,000","$695,000"
SENGKANG,-,*,"$488,900","$600,000","$650,000","$750,000"
SERANGOON,-,*,"$418,000","$600,000","$750,000",*
TAMPINES,-,*,"$450,000","$612,000","$728,000","$900,000"
TOA PAYOH,-,*,"$385,000","$832,500","$945,000",*
WOODLANDS,-,*,"$425,000","$525,000","$630,000","$855,000"
YISHUN,-,"$327,500","$408,000","$530,000","$660,000","$835,000"
